original_file_name,toolkit,time_taken
updates-garmin-nuvi-255W-gps,luhn,0.10764789581298828
staff-swissotel-chicago,nltk,0.17710113525390625
staff-swissotel-chicago,gensim,0.9743261337280273
staff-swissotel-chicago,lexrank,1.0024771690368652
staff-swissotel-chicago,lsa,0.4640371799468994
staff-swissotel-chicago,luhn,0.28373098373413086
features-windows7,nltk,0.05950522422790527
features-windows7,gensim,0.10422086715698242
features-windows7,lexrank,0.14105987548828125
features-windows7,lsa,0.1183929443359375
features-windows7,luhn,0.10249686241149902
interior-toyota-camry-2007,nltk,0.09403419494628906
interior-toyota-camry-2007,gensim,0.32361793518066406
interior-toyota-camry-2007,lexrank,0.32873010635375977
interior-toyota-camry-2007,lsa,0.21582984924316406
interior-toyota-camry-2007,luhn,0.1574249267578125
transmission-toyota-camry-2007,nltk,0.15444207191467285
transmission-toyota-camry-2007,gensim,0.6270229816436768
transmission-toyota-camry-2007,lexrank,0.6090400218963623
transmission-toyota-camry-2007,lsa,0.31850385665893555
transmission-toyota-camry-2007,luhn,0.21761703491210938
sound-ipod-nano-8gb,nltk,0.07970499992370605
sound-ipod-nano-8gb,gensim,0.2584841251373291
sound-ipod-nano-8gb,lexrank,0.24048519134521484
sound-ipod-nano-8gb,lsa,0.18659710884094238
sound-ipod-nano-8gb,luhn,0.13910508155822754
screen-ipod-nano-8gb,nltk,0.057070016860961914
screen-ipod-nano-8gb,gensim,0.09237909317016602
screen-ipod-nano-8gb,lexrank,0.14717817306518555
screen-ipod-nano-8gb,lsa,0.11609697341918945
screen-ipod-nano-8gb,luhn,0.10078787803649902
buttons-amazon-kindle,nltk,0.16662001609802246
buttons-amazon-kindle,gensim,0.6854920387268066
buttons-amazon-kindle,lexrank,0.7378969192504883
buttons-amazon-kindle,lsa,0.3946511745452881
buttons-amazon-kindle,luhn,0.27331995964050293
service-holiday-inn-london,nltk,0.16638398170471191
service-holiday-inn-london,gensim,0.7549428939819336
service-holiday-inn-london,lexrank,0.8046929836273193
service-holiday-inn-london,lsa,0.41725993156433105
service-holiday-inn-london,luhn,0.27298498153686523
price-holiday-inn-london,nltk,0.13937616348266602
price-holiday-inn-london,gensim,0.5345089435577393
price-holiday-inn-london,lexrank,0.5438599586486816
price-holiday-inn-london,lsa,0.34822511672973633
price-holiday-inn-london,luhn,0.22633910179138184
seats-honda-accord-2008,nltk,0.06572914123535156
seats-honda-accord-2008,gensim,0.16544604301452637
seats-honda-accord-2008,lexrank,0.19588613510131836
seats-honda-accord-2008,lsa,0.1512308120727539
seats-honda-accord-2008,luhn,0.12445807456970215
rooms-swissotel-chicago,nltk,0.1517479419708252
rooms-swissotel-chicago,gensim,0.5855810642242432
